region_index,label,corner_label,condition,local_stack_token,stack_token,f_bottom_left,f_top,f_bottom_right,f_c,f_o,f_y,site_x,site_y,expected_hex,expected_R,expected_G,expected_B,expected_L,expected_a,expected_b,polygon_xy,max_height,max_run,distinct_lte,preset,sample_pixels,raw_region_pixels,core_region_pixels,candidate_mask_pixels,sample_mask_pixels,old_color_mask_pixels,old_color_mask_fraction,sample_core_fraction_requested,sample_core_fraction_used,erosion_px_used,lab_trim_percentile,lab_trim_cutoff_deltaE00,lab_trimmed_pixels,lab_trimmed_fraction,measured_hex,measured_R,measured_G,measured_B,measured_L,measured_a,measured_b,measured_L_mean,measured_a_mean,measured_b_mean,deltaE00_to_expected,deltaE76_to_expected,within_region_deltaE00_median,within_region_deltaE00_p90,within_region_deltaE00_sd,hue_angle_degrees,measured_chroma,source_path,filename,photo_id,filename_label,condition_source,capture_number,bottom_left_anchor,top_anchor,bottom_right_anchor,palette_family,analysis_id,analysis_scale
11,coy_two_color_011_co,coy,two_color,cy,co,0.5,0.5,0.0,0.5,0.5,0.0,0.25,0.4330127018922193,#9da17b,0.6137254901960785,0.6313725490196078,0.4823529411764706,64.99268099874395,-8.193904498525196,19.304729383075504,"[[0.4999999999999999, 0.3464101615137758], [0.2750000000000002, 0.47631397208144144], [0.22500000000000003, 0.3897114317029974], [0.45, 0.25980762113533157], [0.45, 0.25980762113533157], [0.5, 0.28867513459481287], [0.5, 0.34641016151377524]]",6,2,2,two_color,8196,32012,13489,8364,8196,8364,1.0,0.65,0.65,8,98.0,10.482499451427454,168,0.020086083213773313,#c48564,0.76862746,0.52156866,0.39215687,61.54984710548632,21.130477261148222,27.289217405097965,61.35830383730616,20.945457859773125,26.95985075866997,24.687009515921154,30.586345315801474,3.9838684963213002,7.485648322087192,2.074355059177974,52.24880871468679,34.51374299995009,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4601coy.tif,DSC_4601coy.tif,DSC_4601,coy,capture_number,4601,c,o,y,CMY+OVG,two_color__coy__DSC_4601coy,0.5452893062708271
12,coy_two_color_012_ccoco,coy,two_color,ccycy,ccoco,0.6,0.4,0.0,0.6,0.4,0.0,0.2,0.34641016151377546,#89a98e,0.5364705882352941,0.6619607843137254,0.5584313725490196,66.18799823635786,-16.31857019722094,10.042692270695408,"[[0.36666666666666653, 0.21169509870286277], [0.36666666666666714, 0.21169509870286302], [0.45, 0.25980762113533157], [0.225, 0.3897114317029973], [0.18333333333333335, 0.3175426480542941]]",6,2,2,two_color,5125,22704,9717,5230,5125,5230,1.0,0.65,0.65,8,98.0,20.4346276573373,105,0.020076481835564052,#ba8b75,0.7294118,0.54509807,0.45882353,62.31018328871443,16.028164031807346,18.46915979960533,62.18218592183,14.941685224808909,16.084906436731355,32.48160419963756,33.650468333551174,6.4863668038709035,17.814639494363863,5.419536756676838,49.047445481427246,24.454281954984495,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4601coy.tif,DSC_4601coy.tif,DSC_4601,coy,capture_number,4601,c,o,y,CMY+OVG,two_color__coy__DSC_4601coy,0.5452893062708271
13,coy_two_color_013_cco,coy,two_color,ccy,cco,0.6666666666666666,0.3333333333333333,0.0,0.6666666666666666,0.3333333333333333,0.0,0.16666666666666666,0.28867513459481287,#7cae9b,0.4849673202614379,0.6823529411764705,0.6091503267973857,67.20853974722671,-20.729985445494147,4.239399619416795,"[[0.29166666666666674, 0.16839382851364088], [0.29166666666666674, 0.16839382851364088], [0.3666666666666666, 0.21169509870286274], [0.18333333333333332, 0.3175426480542941], [0.14583333333333337, 0.2525907427704613]]",6,2,2,two_color,3299,16622,7006,3367,3299,3367,1.0,0.65,0.65,8,98.0,15.124110128165489,68,0.020196020196020195,#ae8e87,0.68235296,0.5568628,0.5294118,62.45539278664083,10.898692422592394,7.858836169614736,62.192105352232,11.741297527164926,10.191364582796199,34.28807865909052,32.18797897745404,9.391229651969217,13.424103327622596,3.54250989572787,35.79464378590552,13.436621690853608,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4601coy.tif,DSC_4601coy.tif,DSC_4601,coy,capture_number,4601,c,o,y,CMY+OVG,two_color__coy__DSC_4601coy,0.5452893062708271
14,coy_two_color_014_ccoc,coy,two_color,ccyc,ccoc,0.75,0.25,0.0,0.75,0.25,0.0,0.125,0.21650635094610965,#6bb4ac,0.42058823529411765,0.7078431372549019,0.6725490196078432,68.71019047163972,-25.032710154815895,-2.603719100571822,"[[0.22499999999999984, 0.12990381056766567], [0.2916666666666667, 0.16839382851364085], [0.14583333333333337, 0.2525907427704613], [0.11250000000000002, 0.1948557158514987], [0.22500000000000003, 0.12990381056766576]]",6,2,2,two_color,1976,11563,4888,2017,1976,2017,1.0,0.65,0.65,8,98.0,22.816555755197786,41,0.02032721864154685,#9c97a4,0.6117647,0.59411764,0.6431373,64.24709105469069,4.410821292921835,-5.996219626635146,63.83027983760215,6.76359200839001,-1.921962113866318,27.928982979811703,29.97248505444337,12.065691624964089,20.60177991931139,5.727888285194322,306.3382130451346,7.443788973965959,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4601coy.tif,DSC_4601coy.tif,DSC_4601,coy,capture_number,4601,c,o,y,CMY+OVG,two_color__coy__DSC_4601coy,0.5452893062708271
15,coy_two_color_015_ccocc,coy,two_color,ccycc,ccocc,0.8,0.2,0.0,0.8,0.2,0.0,0.1,0.17320508075688773,#61b8b5,0.3819607843137255,0.7231372549019607,0.7105882352941177,69.71997196396053,-26.96790196253329,-6.500497250752835,"[[0.22499999999999995, 0.12990381056766578], [0.11249999999999999, 0.19485571585149866], [0.04999999999999999, 0.08660254037844385], [0.1, 0.05773502691896256]]",6,2,2,two_color,2743,13621,5799,2799,2743,2799,1.0,0.65,0.65,8,98.0,28.8097937483096,56,0.02000714540907467,#8e9cb6,0.5568628,0.6117647,0.7137255,65.01420545263396,0.6111264664958593,-15.356104056917562,64.75894346698459,4.242852161330919,-8.555256746822982,21.58951512383618,29.345678037041704,6.624606762623109,26.26747013755234,8.954677462893727,272.2789959704582,15.368259737684411,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4601coy.tif,DSC_4601coy.tif,DSC_4601,coy,capture_number,4601,c,o,y,CMY+OVG,two_color__coy__DSC_4601coy,0.5452893062708271
16,coy_two_color_016_c,coy,two_color,c,c,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,#3ac8dc,0.22745098039215686,0.7843137254901961,0.8627450980392157,74.42655654335444,-30.326087604312878,-20.705156122725967,"[[0.1, 0.057735026918962574], [0.05, 0.08660254037844387], [0.0, 0.0], [0.10000000000000002, 0.0]]",6,2,2,two_color,1123,6756,2890,1146,1123,1146,1.0,0.65,0.65,8,98.0,1.7163661561154453,23,0.02006980802792321,#80ade8,0.5019608,0.6784314,0.9098039,69.64256739597177,0.4634700737642383,-34.6604881989814,69.63855724715864,0.45610133108419487,-34.521057688564554,19.379256224462743,34.14139287627961,0.6710951239213563,1.2800932577783655,0.3862817247719065,270.76609701744684,34.66358675470563,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4601coy.tif,DSC_4601coy.tif,DSC_4601,coy,capture_number,4601,c,o,y,CMY+OVG,two_color__coy__DSC_4601coy,0.5452893062708271
17,coy_two_color_017_ccycc,coy,two_color,ccmcc,ccycc,0.8,0.0,0.2,0.8,0.0,0.2,0.2,0.0,#61cdb0,0.3819607843137255,0.8023529411764706,0.6901960784313725,75.5547352424016,-37.82289322407589,4.864422141720537,"[[0.22499999999999998, 0.12990381056766578], [0.22499999999999992, 0.12990381056766576], [0.1, 0.05773502691896257], [0.10000000000000002, 0.0], [0.22499999999999998, 0.0]]",6,2,2,two_color,3197,13603,5832,3262,3197,3262,1.0,0.65,0.65,8,98.0,19.88042530520674,65,0.019926425505824647,#7bbfc2,0.48235294,0.7490196,0.7607843,73.07809484339664,-20.430203620495636,-8.896846084268972,73.74125365190677,-20.65659644375786,-5.129731116012654,12.90957778887479,22.31618028471944,6.910745834755061,16.81319483135769,5.258733792811148,203.53192877129393,22.283336604334753,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4601coy.tif,DSC_4601coy.tif,DSC_4601,coy,capture_number,4601,c,o,y,CMY+OVG,two_color__coy__DSC_4601coy,0.5452893062708271
18,coy_two_color_018_ccyc,coy,two_color,ccmc,ccyc,0.75,0.0,0.25,0.75,0.0,0.25,0.25,0.0,#6bcea5,0.42058823529411765,0.8068627450980392,0.6470588235294118,75.99398463781759,-38.508338624210936,11.446263813771207,"[[0.29166666666666663, 0.16839382851364085], [0.29166666666666674, 0.16839382851364088], [0.22499999999999992, 0.12990381056766573], [0.22499999999999995, 0.12990381056766576], [0.22499999999999998, 0.0], [0.29166666666666674, 0.0]]",6,2,2,two_color,2559,11573,4960,2612,2559,2612,1.0,0.65,0.65,8,98.0,13.227407928620064,53,0.020290964777947933,#7fc3b4,0.49803922,0.7647059,0.7058824,74.12067709158289,-23.92405148682886,0.5511023175251983,74.83125401949917,-24.23140328348071,2.6194942270236585,8.68272349099661,18.300690055232064,6.703711459327347,11.62211840654317,3.316326828078585,178.6803968550729,23.930398101762112,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4601coy.tif,DSC_4601coy.tif,DSC_4601,coy,capture_number,4601,c,o,y,CMY+OVG,two_color__coy__DSC_4601coy,0.5452893062708271
19,coy_two_color_019_ccy,coy,two_color,ccm,ccy,0.6666666666666666,0.0,0.3333333333333333,0.6666666666666666,0.0,0.3333333333333333,0.3333333333333333,0.0,#7cd093,0.4849673202614379,0.8143790849673204,0.5751633986928105,76.86250739489427,-38.58330122000342,22.49598611228505,"[[0.3666666666666667, 0.2116950987028628], [0.36666666666666675, 0.2116950987028628], [0.29166666666666674, 0.16839382851364085], [0.2916666666666667, 0.16839382851364082], [0.2916666666666667, 0.0], [0.3666666666666667, 0.0]]",6,2,2,two_color,4071,16665,7095,4155,4071,4155,1.0,0.65,0.65,8,98.0,8.205067577426867,84,0.020216606498194945,#89c7a0,0.5372549,0.78039217,0.627451,75.44112190100653,-27.967246338697628,14.31170466615419,75.9975454155108,-28.18080595721826,14.523674435273646,5.132209478165526,13.479741123427143,4.123609687148162,6.5924418255648725,1.8512313607872144,152.89977000534043,31.41642497517207,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4601coy.tif,DSC_4601coy.tif,DSC_4601,coy,capture_number,4601,c,o,y,CMY+OVG,two_color__coy__DSC_4601coy,0.5452893062708271
20,coy_two_color_020_ccycy,coy,two_color,ccmcm,ccycy,0.6,0.0,0.4,0.6,0.0,0.4,0.4,0.0,#89d184,0.5364705882352941,0.820392156862745,0.5176470588235295,77.67664033697756,-37.72301156590308,31.332784159337134,"[[0.44999999999999996, 0.25980762113533157], [0.4500000000000001, 0.2598076211353316], [0.3666666666666665, 0.21169509870286266], [0.36666666666666675, 0.21169509870286288], [0.3666666666666667, 0.0], [0.44999999999999996, 0.0]]",6,2,2,two_color,5963,22931,9647,6084,5963,6084,1.0,0.65,0.65,8,98.0,10.799750890965996,121,0.019888231426692965,#90cb95,0.5647059,0.79607844,0.58431375,76.56099905249832,-29.06357100548601,22.276450013264103,76.89719222369376,-29.104941257033015,20.285789504551957,4.4072415898785415,12.57965637290459,3.2314691102937547,8.169089295472805,2.5055270265947978,142.5308002728578,36.61872997230217,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4601coy.tif,DSC_4601coy.tif,DSC_4601,coy,capture_number,4601,c,o,y,CMY+OVG,two_color__coy__DSC_4601coy,0.5452893062708271
21,coy_two_color_021_cy,coy,two_color,cm,cy,0.5,0.0,0.5,0.5,0.0,0.5,0.5,0.0,#9dd36e,0.6137254901960785,0.8294117647058823,0.43137254901960786,79.08731311025821,-35.04058229831547,44.36686585857201,"[[0.55, 0.2598076211353316], [0.5, 0.2886751345948129], [0.4500000000000002, 0.25980762113533173], [0.44999999999999996, 0.25980762113533157], [0.44999999999999996, 0.0], [0.55, 0.0]]",6,2,2,two_color,9184,31855,13491,9372,9184,9372,1.0,0.65,0.65,8,98.0,4.632326407805183,188,0.020059752454118653,#99cf89,0.6,0.8117647,0.5372549,78.1346033179329,-30.97790821997909,29.882122205617677,78.20707235184591,-30.951832552042283,29.496618090204542,5.398175990160049,15.073844078634348,1.9656977198953234,3.079860852080126,0.7859700456081176,136.03150015384472,43.041515135934944,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4601coy.tif,DSC_4601coy.tif,DSC_4601,coy,capture_number,4601,c,o,y,CMY+OVG,two_color__coy__DSC_4601coy,0.5452893062708271
22,coy_two_color_022_cycyy,coy,two_color,cmcmm,cycyy,0.4,0.0,0.6,0.4,0.0,0.6,0.6,0.0,#b0d658,0.6909803921568628,0.8384313725490194,0.34509803921568627,80.71081715514305,-30.926605445549537,56.74685739894987,"[[0.6333333333333334, 0.2116950987028627], [0.6333333333333331, 0.211695098702863], [0.5500000000000002, 0.25980762113533157], [0.55, 0.2598076211353316], [0.55, 0.0], [0.6333333333333334, 0.0]]",6,2,2,two_color,6005,22793,9702,6128,6005,6128,1.0,0.65,0.65,8,98.0,5.998941024645794,123,0.020071801566579634,#a2d581,0.63529414,0.8352941,0.5058824,80.146929660847,-30.551874452187768,35.935651547316105,79.91704110626875,-30.622099312994532,36.257265428170626,7.572836407186331,20.822216054557806,2.698372465726655,4.553393030456761,1.2860074802219998,130.37061800945014,47.167659308814194,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4601coy.tif,DSC_4601coy.tif,DSC_4601,coy,capture_number,4601,c,o,y,CMY+OVG,two_color__coy__DSC_4601coy,0.5452893062708271
23,coy_two_color_023_cyy,coy,two_color,cmm,cyy,0.3333333333333333,0.0,0.6666666666666666,0.3333333333333333,0.0,0.6666666666666666,0.6666666666666666,0.0,#bdd749,0.742483660130719,0.8444444444444444,0.28758169934640526,81.90233054832865,-27.535536020099894,64.35586331832887,"[[0.7083333333333331, 0.168393828513641], [0.7083333333333331, 0.168393828513641], [0.6333333333333333, 0.2116950987028628], [0.6333333333333334, 0.0], [0.7083333333333333, 0.0]]",6,2,2,two_color,4044,16650,7045,4127,4044,4127,1.0,0.65,0.65,8,98.0,6.2216434574564055,83,0.02011146110976496,#acd879,0.6745098,0.84705883,0.4745098,81.47640003576215,-30.119443449421,41.561264544437336,81.04238889956413,-30.10595546117428,40.41932762772131,8.386232908593552,22.944535900024945,2.3405778595119786,4.807032955729808,1.416835211137076,125.93083909307609,51.3275713845451,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4601coy.tif,DSC_4601coy.tif,DSC_4601,coy,capture_number,4601,c,o,y,CMY+OVG,two_color__coy__DSC_4601coy,0.5452893062708271
24,coy_two_color_024_ycyy,coy,two_color,mcmm,ycyy,0.25,0.0,0.75,0.25,0.0,0.75,0.75,0.0,#ced937,0.8068627450980392,0.8519607843137255,0.21568627450980393,83.5042416800598,-22.722707681334942,72.79352079044212,"[[0.7750000000000006, 0.12990381056766542], [0.7750000000000004, 0.12990381056766562], [0.7083333333333331, 0.16839382851364093], [0.7083333333333331, 0.0], [0.7750000000000006, 0.0]]",6,2,2,two_color,2545,11642,4953,2597,2545,2597,1.0,0.65,0.65,8,98.0,7.151453824949739,52,0.020023103581055062,#b9dd70,0.7254902,0.8666667,0.4392157,83.56683842060467,-28.74857470561465,49.729036623163616,83.05726621180577,-28.820036510786895,47.95411392853029,8.810956367552054,23.838737836741043,2.0833185464111152,5.429509175591218,1.7358840940074973,120.03239565197521,57.440905555816705,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4601coy.tif,DSC_4601coy.tif,DSC_4601,coy,capture_number,4601,c,o,y,CMY+OVG,two_color__coy__DSC_4601coy,0.5452893062708271
