region_index,label,corner_label,condition,local_stack_token,stack_token,f_bottom_left,f_top,f_bottom_right,f_k,f_c,f_m,site_x,site_y,expected_hex,expected_R,expected_G,expected_B,expected_L,expected_a,expected_b,polygon_xy,max_height,max_run,distinct_lte,preset,sample_pixels,raw_region_pixels,core_region_pixels,candidate_mask_pixels,sample_mask_pixels,old_color_mask_pixels,old_color_mask_fraction,sample_core_fraction_requested,sample_core_fraction_used,erosion_px_used,lab_trim_percentile,lab_trim_cutoff_deltaE00,lab_trimmed_pixels,lab_trimmed_fraction,measured_hex,measured_R,measured_G,measured_B,measured_L,measured_a,measured_b,measured_L_mean,measured_a_mean,measured_b_mean,deltaE00_to_expected,deltaE76_to_expected,within_region_deltaE00_median,within_region_deltaE00_p90,within_region_deltaE00_sd,hue_angle_degrees,measured_chroma,source_path,filename,photo_id,filename_label,condition_source,capture_number,bottom_left_anchor,top_anchor,bottom_right_anchor,palette_family,analysis_id,analysis_scale
11,kcm_full_011_kcmc,kcm,full,cymy,kcmc,0.25,0.5,0.25,0.25,0.5,0.25,0.5,0.4330127018922193,#536f99,0.32450980392156864,0.4362745098039216,0.5980392156862745,46.35661515417814,1.2046981814756164,-25.6328796821381,"[[0.5416666666666665, 0.47631397208144155], [0.4583333333333335, 0.47631397208144155], [0.4583333333333335, 0.3800889272165036], [0.475, 0.3608439182435162], [0.5249999999999999, 0.3608439182435162], [0.5416666666666665, 0.38008892721650367]]",6,5,5,full,2617,10837,4688,2671,2617,2671,1.0,0.65,0.65,8,98.0,7.74065392512343,54,0.020217147135904157,#525b76,0.32156864,0.35686275,0.4627451,39.02707029836566,3.3442382987384223,-16.351079167125594,38.74233364097152,3.429209411919777,-16.24738077968144,9.501836119066168,12.018805286185085,3.814407084905791,6.259172222654703,1.7215113715273989,281.5591196858168,16.689569189417607,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4544kcm.tif,DSC_4544kcm.tif,DSC_4544,kcm,capture_number,4544,k,c,m,CMY+neutral,full__kcm__DSC_4544kcm,0.5469462169553327
12,kcm_full_012_kcmcc,kcm,full,cymyy,kcmcc,0.2,0.6,0.2,0.2,0.6,0.2,0.5,0.5196152422706631,#4e81a6,0.3050980392156863,0.5058823529411764,0.6509803921568628,51.90893366568518,-6.345562108180158,-24.952362928391047,"[[0.4083333333333336, 0.5244264945139103], [0.45833333333333354, 0.4763139720814415], [0.5416666666666665, 0.47631397208144144], [0.5916666666666665, 0.5244264945139102], [0.5833333333333335, 0.5484827557301435], [0.4166666666666665, 0.5484827557301435]]",6,5,5,full,2639,12452,5259,2686,2639,2686,1.0,0.65,0.65,8,98.0,11.932767957073258,47,0.017498138495904692,#62739a,0.38431373,0.4509804,0.6039216,48.65286136308629,3.820518740274892,-23.036910321613835,46.56724114931586,3.416339364517925,-22.081869767636046,10.220617554955208,10.845283092012204,3.9636034869092254,10.573251424264509,3.1956823624260746,279.41641932203544,23.351565271109124,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4544kcm.tif,DSC_4544kcm.tif,DSC_4544,kcm,capture_number,4544,k,c,m,CMY+neutral,full__kcm__DSC_4544kcm,0.5469462169553327
13,kcm_full_013_kcmccc,kcm,full,cymyyy,kcmccc,0.16666666666666666,0.6666666666666666,0.16666666666666666,0.16666666666666666,0.6666666666666666,0.16666666666666666,0.5,0.5773502691896257,#4b8daf,0.29215686274509806,0.5522875816993463,0.6862745098039215,55.65438754846801,-10.975268688450946,-24.365534574619787,"[[0.5499999999999997, 0.6350852961085888], [0.5166666666666663, 0.6639528095680701], [0.5000000000000001, 0.6735753140545636], [0.4833333333333337, 0.66395280956807], [0.44999999999999996, 0.6350852961085883], [0.4166666666666665, 0.5773502691896255], [0.41666666666666646, 0.5484827557301435], [0.5833333333333334, 0.5484827557301435], [0.5833333333333334, 0.5773502691896257]]",6,5,5,full,4135,17043,7218,4220,4135,4220,1.0,0.65,0.65,8,98.0,14.887778611605484,85,0.02014218009478673,#647ea9,0.39215687,0.49411765,0.6627451,52.35017509664756,1.3395579497006427,-25.372995174739323,50.12239139322837,1.5131719633152045,-24.290149416553863,10.453613011212274,12.790142763678851,4.843675464528229,13.32076600024725,4.111031854915219,273.0221038839144,25.4083313036876,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4544kcm.tif,DSC_4544kcm.tif,DSC_4544,kcm,capture_number,4544,k,c,m,CMY+neutral,full__kcm__DSC_4544kcm,0.5469462169553327
14,kcm_full_014_kccccc,kcm,full,cyyyyy,kccccc,0.16666666666666666,0.8333333333333334,0.0,0.16666666666666666,0.8333333333333334,0.0,0.4166666666666667,0.7216878364870322,#34aabb,0.2026143790849673,0.6666666666666666,0.7320261437908497,64.19440390098289,-26.576034175372577,-17.957114322838798,"[[0.4583333333333333, 0.7938566201357353], [0.4083333333333336, 0.7072540797572919], [0.4833333333333335, 0.6639528095680699], [0.5000000000000002, 0.6735753140545637], [0.5000000000000002, 0.7698003589195006]]",6,5,5,full,1641,8868,3792,1674,1641,1674,1.0,0.65,0.65,8,98.0,16.10542909639529,33,0.01971326164874552,#638eb7,0.3882353,0.5568628,0.7176471,57.33097148055377,-3.4957341952283616,-25.8929938250839,55.198505654934685,-3.4074309675499057,-24.997202427422106,16.33853350996147,25.353207592677432,5.05300822392887,14.22678093836435,4.514038167736958,262.3111609945597,26.127902456751514,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4544kcm.tif,DSC_4544kcm.tif,DSC_4544,kcm,capture_number,4544,k,c,m,CMY+neutral,full__kcm__DSC_4544kcm,0.5469462169553327
15,kcm_full_015_kcccc,kcm,full,cyyyy,kcccc,0.2,0.8,0.0,0.2,0.8,0.0,0.4,0.6928203230275509,#32a4b4,0.1976470588235294,0.6431372549019607,0.7058823529411765,62.11042910324521,-25.805137854912175,-17.393975631597037,"[[0.45000000000000007, 0.6350852961085884], [0.48333333333333367, 0.66395280956807], [0.40833333333333355, 0.7072540797572919], [0.38750000000000007, 0.6711696879329401]]",6,5,5,full,251,3959,1656,257,251,257,1.0,0.65,0.65,8,98.0,14.876814417705244,6,0.023346303501945526,#6088ac,0.3764706,0.53333336,0.6745098,55.2262291360784,-4.0580361726846315,-23.493124273857834,53.170311180763264,-4.199473949606968,-22.57905941934514,15.731918435531107,23.61203622997126,5.357974788320711,11.887205192897625,3.8951502804979334,260.1998366265898,23.84102652416093,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4544kcm.tif,DSC_4544kcm.tif,DSC_4544,kcm,capture_number,4544,k,c,m,CMY+neutral,full__kcm__DSC_4544kcm,0.5469462169553327
16,kcm_full_016_kccc,kcm,full,cyyy,kccc,0.25,0.75,0.0,0.25,0.75,0.0,0.375,0.649519052838329,#319baa,0.19019607843137254,0.6078431372549019,0.6666666666666667,58.95879349397434,-24.633574246772593,-16.539634450304554,"[[0.41666666666666646, 0.5773502691896255], [0.45000000000000007, 0.6350852961085885], [0.3875000000000001, 0.6711696879329401], [0.3541666666666666, 0.6134346610139771]]",6,5,5,full,736,5670,2441,751,736,751,1.0,0.65,0.65,8,98.0,9.711951778163026,15,0.019973368841544607,#52708e,0.32156864,0.4392157,0.5568628,46.200818845702244,-2.9899748300198095,-19.84150643335966,45.491841598686754,-2.95357591683945,-19.42421186736334,19.44499366400634,25.33996194612966,5.2385733694756205,7.898298402285695,2.1956688231151533,261.4304097614297,20.065525834854284,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4544kcm.tif,DSC_4544kcm.tif,DSC_4544,kcm,capture_number,4544,k,c,m,CMY+neutral,full__kcm__DSC_4544kcm,0.5469462169553327
17,kcm_full_017_kcc,kcm,full,cyy,kcc,0.3333333333333333,0.6666666666666666,0.0,0.3333333333333333,0.6666666666666666,0.0,0.3333333333333333,0.5773502691896257,#2d8c99,0.17777777777777778,0.5490196078431372,0.6013071895424836,53.63298621676569,-22.635268982233057,-15.087355983918593,"[[0.3833333333333331, 0.5099927377841694], [0.4083333333333336, 0.5244264945139103], [0.4166666666666664, 0.5484827557301433], [0.4166666666666664, 0.5773502691896256], [0.3541666666666665, 0.613434661013977], [0.3166666666666666, 0.5484827557301443]]",6,5,5,full,1226,7461,3158,1249,1226,1249,1.0,0.65,0.65,8,98.0,8.839429341661166,23,0.018414731785428344,#435466,0.2627451,0.32941177,0.4,35.06029647344381,-1.7937339139454112,-12.598281235528185,35.67588643136284,-1.8190117236443843,-12.739482076214102,23.42928290841379,28.02694919907324,2.4368868754475512,6.133832864814387,2.0576582299931223,261.8967327000763,12.725335808673165,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4544kcm.tif,DSC_4544kcm.tif,DSC_4544,kcm,capture_number,4544,k,c,m,CMY+neutral,full__kcm__DSC_4544kcm,0.5469462169553327
18,kcm_full_018_kckcmc,kcm,full,cycymy,kckcmc,0.3333333333333333,0.5,0.16666666666666666,0.3333333333333333,0.5,0.16666666666666666,0.41666666666666663,0.4330127018922193,#446f8e,0.2673202614379085,0.434640522875817,0.5555555555555556,44.954888057019026,-5.6669840614458895,-21.441435011759523,"[[0.45833333333333354, 0.38008892721650345], [0.45833333333333354, 0.47631397208144144], [0.40833333333333355, 0.5244264945139103], [0.3833333333333331, 0.5099927377841694], [0.3333333333333333, 0.4426352063787134], [0.3333333333333333, 0.40414518843273783]]",6,5,5,full,3516,14921,6321,3586,3516,3586,1.0,0.65,0.65,8,98.0,10.582127197142373,70,0.019520356943669825,#4a5267,0.2901961,0.32156864,0.40392157,35.01656019451441,1.8654025211715526,-13.220373690000992,35.20332594156055,2.128796310057863,-13.296515849571861,13.303700164295648,14.936299996610437,6.008987770347647,9.006378292218171,2.6158902217282365,278.0314479592451,13.351329786551737,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4544kcm.tif,DSC_4544kcm.tif,DSC_4544,kcm,capture_number,4544,k,c,m,CMY+neutral,full__kcm__DSC_4544kcm,0.5469462169553327
19,kcm_full_019_kckcc,kcm,full,cycyy,kckcc,0.4,0.6,0.0,0.4,0.6,0.0,0.3,0.5196152422706631,#2b808c,0.16784313725490196,0.5019607843137255,0.5490196078431373,49.30092876062784,-20.98856372096758,-13.896445901541377,"[[0.3333333333333333, 0.44263520637871334], [0.383333333333333, 0.5099927377841693], [0.31666666666666654, 0.5484827557301443], [0.2750000000000001, 0.4763139720814414]]",6,5,5,full,1053,7178,3032,1075,1053,1075,1.0,0.65,0.65,8,98.0,10.519915811178093,22,0.020465116279069766,#42505f,0.25882354,0.3137255,0.37254903,33.31532746732698,-1.3605537155435277,-10.534543564995236,34.002965901868066,-1.438520372165477,-11.067146319288078,21.243432281184898,25.536260744319698,4.792986001692052,8.521169124168377,2.6277396903169943,262.64089194330296,10.622039094997808,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4544kcm.tif,DSC_4544kcm.tif,DSC_4544,kcm,capture_number,4544,k,c,m,CMY+neutral,full__kcm__DSC_4544kcm,0.5469462169553327
20,kcm_full_020_kc,kcm,full,cy,kc,0.5,0.5,0.0,0.5,0.5,0.0,0.25,0.4330127018922193,#276e78,0.15294117647058825,0.43137254901960786,0.47058823529411764,42.669972071198394,-18.418486343153294,-12.051757629650407,"[[0.2833333333333334, 0.3560326660002692], [0.3166666666666668, 0.3752776749732568], [0.3333333333333333, 0.40414518843273783], [0.3333333333333333, 0.44263520637871334], [0.27500000000000013, 0.47631397208144144], [0.225, 0.3897114317029974]]",6,5,5,full,1773,9448,4005,1809,1773,1809,1.0,0.65,0.65,8,98.0,2.6096889560216843,36,0.01990049751243781,#363b43,0.21176471,0.23137255,0.2627451,24.73204573441423,-0.07963891120990607,-5.708620065047998,24.829762510937186,-0.13442694788120377,-5.789768591722924,22.008371852217156,26.42570567760607,1.002408582064776,1.7834123610747847,0.5425818700891796,269.2007389764925,5.70917554496683,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4544kcm.tif,DSC_4544kcm.tif,DSC_4544,kcm,capture_number,4544,k,c,m,CMY+neutral,full__kcm__DSC_4544kcm,0.5469462169553327
21,kcm_full_021_kmckc,kcm,full,cmycy,kmckc,0.4,0.4,0.2,0.4,0.4,0.2,0.4,0.34641016151377546,#465d7e,0.2752941176470588,0.3647058823529411,0.49411764705882355,38.97429770738988,0.7972617439870322,-21.228108930970848,"[[0.4000000000000001, 0.2790526301083191], [0.42499999999999993, 0.27424137786507224], [0.475, 0.36084391824351614], [0.45833333333333337, 0.38008892721650356], [0.33333333333333326, 0.4041451884327379], [0.31666666666666676, 0.37527767497325687]]",6,5,5,full,2886,13512,5806,2945,2886,2945,1.0,0.65,0.65,8,98.0,6.489989661945877,59,0.020033955857385398,#424452,0.25882354,0.26666668,0.32156864,29.036966112909603,2.553248200773184,-8.610833408587059,29.49441820576385,2.6968288911181326,-8.738619999583882,11.97313156763521,16.156413254890996,2.7891457995307936,4.783673431276604,1.2849736549195883,286.5159225828303,8.981399020486203,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4544kcm.tif,DSC_4544kcm.tif,DSC_4544,kcm,capture_number,4544,k,c,m,CMY+neutral,full__kcm__DSC_4544kcm,0.5469462169553327
22,kcm_full_022_kkckc,kcm,full,ccycy,kkckc,0.6,0.4,0.0,0.6,0.4,0.0,0.2,0.34641016151377546,#235c64,0.1380392156862745,0.36078431372549014,0.39215686274509803,35.85791514832934,-15.68952102250737,-10.118639007132145,"[[0.24999999999999994, 0.27905263010831904], [0.2833333333333333, 0.35603266600026917], [0.22500000000000003, 0.3897114317029973], [0.18333333333333335, 0.3175426480542941]]",6,5,5,full,1074,7085,3019,1094,1074,1094,1.0,0.65,0.65,8,98.0,4.871152798111066,20,0.018281535648994516,#383d45,0.21960784,0.23921569,0.27058825,25.586917417882724,0.06000027274583042,-5.551791012769225,25.79756599925348,0.11532115536053504,-5.479831952326247,17.13848110659549,19.349338903747853,1.4851036510943778,2.77863780448979,0.9415398302404454,270.61919271757495,5.552115225947199,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4544kcm.tif,DSC_4544kcm.tif,DSC_4544,kcm,capture_number,4544,k,c,m,CMY+neutral,full__kcm__DSC_4544kcm,0.5469462169553327
23,kcm_full_023_kkc,kcm,full,ccy,kkc,0.6666666666666666,0.3333333333333333,0.0,0.6666666666666666,0.3333333333333333,0.0,0.16666666666666666,0.28867513459481287,#215057,0.12810457516339868,0.3137254901960784,0.3398692810457516,31.201352139765312,-13.748019559950198,-8.76521785817328,"[[0.20833333333333337, 0.21650635094610968], [0.2333333333333333, 0.2309401076758503], [0.24999999999999997, 0.2501851166488378], [0.24999999999999997, 0.27905263010831904], [0.1833333333333333, 0.3175426480542941], [0.14583333333333334, 0.2525907427704613]]",6,5,5,full,1238,7379,3196,1259,1238,1179,0.9364575059571089,0.65,0.65,8,98.0,3.3135823493466607,21,0.016679904686258934,#383c42,0.21960784,0.23529412,0.25882354,25.15503010234331,0.19768821035859308,-4.728750713592111,25.4205816813273,0.1703123450457506,-4.702497308765907,14.867682876983631,15.726851000894907,1.2681948914294283,2.4233250682050835,0.7152991686691111,272.39388987155286,4.73288114575178,LayerLoomPhotos100NCZ_5/centered_4x3_tif/DSC_4544kcm.tif,DSC_4544kcm.tif,DSC_4544,kcm,capture_number,4544,k,c,m,CMY+neutral,full__kcm__DSC_4544kcm,0.5469462169553327
